"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","933","Проверяем, что если поле login не заполнено, запрос возвращает ошибку 400","tests","2026-08-03","passed","2026-08-03","TestCreateCourier","test_create_courier","",""
"","2318","Проверка, что успешный запрос возвращает ""ok"":true","tests","2026-08-03","passed","2026-08-03","TestAcceptOrder","test_z_accept_order","",""
"","10789","Проверка, что если нет поля password, запрос возвращает ошибку","tests","2026-08-03","skipped","2026-08-03","TestLoginCourier","test_login_courier","",""
"","1600","Проверка, что если не передать id курьера, вернётся сообщение об ошибке","tests","2026-08-03","passed","2026-08-03","TestAcceptOrder","test_z_accept_order","",""
"","743","Проверка, что запрос без номера заказа возвращает ошибку 400","tests","2026-08-03","passed","2026-08-03","TestGetOrderByNumber","test_z_get_order_by_number","",""
"","10829","Проверка, что если нет поля password, запрос возвращает сообщение об ошибке","tests","2026-08-03","skipped","2026-08-03","TestLoginCourier","test_login_courier","",""
"","813","Проверка, что можно указать цвет (*один, два или никакой): ['BLACK', 'GREY'] и вернётся код 201","tests","2026-08-03","passed","2026-08-03","TestCreateOrder","test_create_order","",""
"","856","Проверка - если авторизоваться под несуществующим пользователем, возвращается сообщение об ошибке","tests","2026-08-03","passed","2026-08-03","TestLoginCourier","test_login_courier","",""
"","818","Проверка, что запрос с несуществующим заказом возвращает ошибку 404","tests","2026-08-03","passed","2026-08-03","TestGetOrderByNumber","test_z_get_order_by_number","",""
"","907","Проверка, что запрос с несуществующим заказом возвращает сообщение об ошибке","tests","2026-08-03","passed","2026-08-03","TestGetOrderByNumber","test_z_get_order_by_number","",""
"","983","Проверка, что курьер может авторизоваться и код ответа 200","tests","2026-08-03","passed","2026-08-03","TestLoginCourier","test_login_courier","",""
"","875","Проверяем, что успешный запрос возвращает ""ok"":true","tests","2026-08-03","passed","2026-08-03","TestCreateCourier","test_create_courier","",""
"","849","Проверяем, что если поле password не заполнено, запрос возвращает ошибку 400","tests","2026-08-03","passed","2026-08-03","TestCreateCourier","test_create_courier","",""
"","810","Проверка, что если отправить запрос без id, вернётся сообщение об ошибке","tests","2026-08-03","skipped","2026-08-03","TestDeleteCourier","test_z_delete_courier","",""
"","1518","Проверка, что если передать неверный id курьера, вернётся код 404","tests","2026-08-03","passed","2026-08-03","TestAcceptOrder","test_z_accept_order","",""
"","800","Проверка, что если нет поля login, запрос возвращает сообщение об ошибке","tests","2026-08-03","passed","2026-08-03","TestLoginCourier","test_login_courier","",""
"","825","Проверяем, что если поле login не заполнено, возвращается сообщение о недостатке данных","tests","2026-08-03","passed","2026-08-03","TestCreateCourier","test_create_courier","",""
"","819","Проверка, что можно указать цвет (*один, два или никакой): ['GREY'] и в ответе есть track","tests","2026-08-03","passed","2026-08-03","TestCreateOrder","test_create_order","",""
"","823","Проверка, что можно указать цвет (*один, два или никакой): ['GREY'] и вернётся код 201","tests","2026-08-03","passed","2026-08-03","TestCreateOrder","test_create_order","",""
"","1496","Проверка, что если не передать id заказа, вернётся код 400","tests","2026-08-03","skipped","2026-08-03","TestAcceptOrder","test_z_accept_order","",""
"","1445","Проверка, что если не передать id заказа, вернётся сообщение об ошибке","tests","2026-08-03","skipped","2026-08-03","TestAcceptOrder","test_z_accept_order","",""
"","16868","При получении списка заказов - должен вернуться код ответа 200","tests","2026-08-03","passed","2026-08-03","TestOrdersList","test_orders_list","",""
"","1965","Проверка, что если не передать id курьера, вернётся код 400","tests","2026-08-03","passed","2026-08-03","TestAcceptOrder","test_z_accept_order","",""
"","1862","Проверяем, что нельзя создать двух одинаковых курьеров и возвращается сообщение о дубль логине","tests","2026-08-03","passed","2026-08-03","TestCreateCourier","test_create_courier","",""
"","1019","Проверка, что можно указать цвет (*один, два или никакой): ['BLACK'] и вернётся код 201","tests","2026-08-03","passed","2026-08-03","TestCreateOrder","test_create_order","",""
"","1096","Проверка, что если неправильно указать пароль, вернётся код 404 ","tests","2026-08-03","passed","2026-08-03","TestLoginCourier","test_login_courier","",""
"","881","Проверка, что если неправильно указать пароль, вернётся код 404 ","tests","2026-08-03","passed","2026-08-03","TestLoginCourier","test_login_courier","",""
"","781","Проверка, что запрос без номера заказа возвращает сообщение об ошибке","tests","2026-08-03","passed","2026-08-03","TestGetOrderByNumber","test_z_get_order_by_number","",""
"","835","Проверка, что успешный запрос возвращает код 200","tests","2026-08-03","passed","2026-08-03","TestGetOrderByNumber","test_z_get_order_by_number","",""
"","786","Проверка, что успешный запрос возвращает объект с заказом","tests","2026-08-03","passed","2026-08-03","TestGetOrderByNumber","test_z_get_order_by_number","",""
"","14588","При получении списка заказов - в тело ответа должен вернуться список заказов","tests","2026-08-03","passed","2026-08-03","TestOrdersList","test_orders_list","",""
"","2335","Проверка, что если передать неверный id заказа, вернётся код 404","tests","2026-08-03","passed","2026-08-03","TestAcceptOrder","test_z_accept_order","",""
"","840","Проверка, что если неправильно указать логин, вернётся код 400","tests","2026-08-03","passed","2026-08-03","TestLoginCourier","test_login_courier","",""
"","833","Проверка, что можно указать цвет (*один, два или никакой): [] и в ответе есть track","tests","2026-08-03","passed","2026-08-03","TestCreateOrder","test_create_order","",""
"","946","Проверка, что если неправильно указать логин, вернётся сообщение об ошибке","tests","2026-08-03","passed","2026-08-03","TestLoginCourier","test_login_courier","",""
"","832","Проверка, что можно указать цвет (*один, два или никакой): ['BLACK', 'GREY'] и в ответе есть track","tests","2026-08-03","passed","2026-08-03","TestCreateOrder","test_create_order","",""
"","867","Проверка, что если отправить запрос с несуществующим id, вернётся ошибка 404","tests","2026-08-03","passed","2026-08-03","TestDeleteCourier","test_z_delete_courier","",""
"","2353","Проверяем, что курьера можно создать и код ответа 201","tests","2026-08-03","passed","2026-08-03","TestCreateCourier","test_create_courier","",""
"","828","Проверка, что можно указать цвет (*один, два или никакой): ['BLACK'] и в ответе есть track","tests","2026-08-03","passed","2026-08-03","TestCreateOrder","test_create_order","",""
"","870","Проверка, что если отправить запрос с несуществующим id, вернётся сообщение об ошибке","tests","2026-08-03","passed","2026-08-03","TestDeleteCourier","test_z_delete_courier","",""
"","2292","Проверка, что если передать неверный id курьера, вернётся сообщение об ошибке","tests","2026-08-03","passed","2026-08-03","TestAcceptOrder","test_z_accept_order","",""
"","790","Проверка, что если нет поля login, запрос возвращает ошибку","tests","2026-08-03","passed","2026-08-03","TestLoginCourier","test_login_courier","",""
"","791","Проверка, что если отправить запрос без id, вернётся ошибка 400","tests","2026-08-03","skipped","2026-08-03","TestDeleteCourier","test_z_delete_courier","",""
"","2626","Проверяем, что нельзя создать двух одинаковых курьеров и возвращается код 409","tests","2026-08-03","passed","2026-08-03","TestCreateCourier","test_create_courier","",""
"","1476","Проверка, что успешный запрос на удаление возвращает ""ok"":true","tests","2026-08-03","passed","2026-08-03","TestDeleteCourier","test_z_delete_courier","",""
"","1538","Проверка, что если передать неверный id заказа, вернётся сообщение об ошибке","tests","2026-08-03","passed","2026-08-03","TestAcceptOrder","test_z_accept_order","",""
"","842","Проверяем, что если поле password не заполнено, возвращается сообщение о недостатке данных","tests","2026-08-03","passed","2026-08-03","TestCreateCourier","test_create_courier","",""
"","939","Проверка, что успешный логин возвращает id","tests","2026-08-03","passed","2026-08-03","TestLoginCourier","test_login_courier","",""
"","803","Проверка, что можно указать цвет (*один, два или никакой): [] и вернётся код 201","tests","2026-08-03","passed","2026-08-03","TestCreateOrder","test_create_order","",""
"","864","Проверка, что если авторизоваться под несуществующим пользователем, запрос возвращает ошибку","tests","2026-08-03","passed","2026-08-03","TestLoginCourier","test_login_courier","",""
